Searching for all records on 2026-02-10:
Total rows today: 654

Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14204200062A, Target: 132, Comp: 46, CP: P1
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14202400126A, Target: 1877, Comp: 1106, CP: C
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14204200175A, Target: 336, Comp: 160, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201320A, Target: 87, Comp: 57, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201320A, Target: 87, Comp: 57, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201320A, Target: 87, Comp: 57, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201320A, Target: 87, Comp: 57, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201288A, Target: 122, Comp: 71, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201288A, Target: 122, Comp: 71, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201201288A, Target: 122, Comp: 71, CP: P2
Date: 2026-02-10 00:00:00, Part: 14211400051A, Target: 38, Comp: 29, CP: P2
Date: 2026-02-10 00:00:00, Part: 14211400051A, Target: 38, Comp: 29, CP: P2
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
Date: 2026-02-10 00:00:00, Part: 14201300384A, Target: 704, Comp: 388, CP: P1
